loc_id,am_trip_count,pm_trip_count,borough_name,zone_name
1,1242,3333,EWR,Newark Airport
2,20,23,Queens,Jamaica Bay
3,2209,1335,Bronx,Allerton/Pelham Gardens
4,38400,31999,Manhattan,Alphabet City
5,3,7,Staten Island,Arden Heights
6,430,432,Staten Island,Arrochar/Fort Wadsworth
7,31957,26312,Queens,Astoria
8,121,180,Queens,Astoria Park
9,876,611,Queens,Auburndale
10,8238,7805,Queens,Baisley Park
11,1539,1191,Brooklyn,Bath Beach
12,2036,11477,Manhattan,Battery Park
13,64434,122047,Manhattan,Battery Park City
14,8361,7101,Brooklyn,Bay Ridge
15,709,626,Queens,Bay Terrace/Fort Totten
16,1128,1094,Queens,Bayside
17,15579,15081,Brooklyn,Bedford
18,4965,2882,Bronx,Bedford Park
19,1815,1531,Queens,Bellerose
20,2199,1844,Bronx,Belmont
21,2768,2406,Brooklyn,Bensonhurst East
22,4070,3190,Brooklyn,Bensonhurst West
23,130,103,Staten Island,Bloomfield/Emerson Hill
24,42777,48174,Manhattan,Bloomingdale
25,12415,16192,Brooklyn,Boerum Hill
26,4405,5532,Brooklyn,Borough Park
27,49,119,Queens,Breezy Point/Fort Tilden/Riis Beach
28,4796,4541,Queens,Briarwood/Jamaica Hills
29,2663,3055,Brooklyn,Brighton Beach
30,56,73,Queens,Broad Channel
31,336,580,Bronx,Bronx Park
32,3193,1912,Bronx,Bronxdale
33,15194,21243,Brooklyn,Brooklyn Heights
34,779,2349,Brooklyn,Brooklyn Navy Yard
35,14897,10356,Brooklyn,Brownsville
36,7294,7281,Brooklyn,Bushwick North
37,18657,15821,Brooklyn,Bushwick South
38,2318,1231,Queens,Cambria Heights
39,19354,11252,Brooklyn,Canarsie
40,6588,3889,Brooklyn,Carroll Gardens
41,65131,75888,Manhattan,Central Harlem
42,55558,48306,Manhattan,Central Harlem North
43,121654,322970,Manhattan,Central Park
44,6,6,Staten Island,Charleston/Tottenville
45,16071,38083,Manhattan,Chinatown
46,168,290,Bronx,City Island
47,4068,2843,Bronx,Claremont/Bathgate
48,226559,293573,Manhattan,Clinton East
49,13573,14231,Brooklyn,Clinton Hill
50,95704,112402,Manhattan,Clinton West
51,7497,3291,Bronx,Co-Op City
52,6410,5040,Brooklyn,Cobble Hill
53,1163,1177,Queens,College Point
54,2098,1203,Brooklyn,Columbia Street
55,7449,5373,Brooklyn,Coney Island
56,4906,3099,Queens,Corona
57,167,186,Queens,Corona
58,277,149,Bronx,Country Club
59,135,88,Bronx,Crotona Park
60,3480,1967,Bronx,Crotona Park East
61,31662,25016,Brooklyn,Crown Heights North
62,9839,7421,Brooklyn,Crown Heights South
63,7641,3981,Brooklyn,Cypress Hills
64,648,507,Queens,Douglaston
65,13272,23276,Brooklyn,Downtown Brooklyn/MetroTech
66,9351,21174,Brooklyn,DUMBO/Vinegar Hill
67,2193,1638,Brooklyn,Dyker Heights
68,221372,432200,Manhattan,East Chelsea
69,8872,5757,Bronx,East Concourse/Concourse Village
70,26124,47487,Queens,East Elmhurst
71,12908,8354,Brooklyn,East Flatbush/Farragut
72,14218,9032,Brooklyn,East Flatbush/Remsen Village
73,717,450,Queens,East Flushing
74,62530,68004,Manhattan,East Harlem North
75,114443,147353,Manhattan,East Harlem South
76,26406,17812,Brooklyn,East New York
77,7220,4528,Brooklyn,East New York/Pennsylvania Avenue
78,5598,3495,Bronx,East Tremont
79,164345,230801,Manhattan,East Village
80,10422,10970,Brooklyn,East Williamsburg
81,4094,1961,Bronx,Eastchester
82,6780,8179,Queens,Elmhurst
83,3910,3682,Queens,Elmhurst/Maspeth
84,11,5,Staten Island,Eltingville/Annadale/Prince's Bay
85,7893,5882,Brooklyn,Erasmus
86,5162,3259,Queens,Far Rockaway
87,55470,102076,Manhattan,Financial District North
88,21255,67115,Manhattan,Financial District South
89,20479,14908,Brooklyn,Flatbush/Ditmas Park
90,136491,224265,Manhattan,Flatiron
91,13450,8413,Brooklyn,Flatlands
92,2945,4125,Queens,Flushing
93,1329,5241,Queens,Flushing Meadows-Corona Park
94,2328,1349,Bronx,Fordham South
95,8668,8624,Queens,Forest Hills
96,322,321,Queens,Forest Park/Highland Park
97,13992,18688,Brooklyn,Fort Greene
98,961,911,Queens,Fresh Meadows
99,3,3,Staten Island,Freshkills Park
100,148298,217786,Manhattan,Garment District
101,967,1035,Queens,Glen Oaks
102,2761,2240,Queens,Glendale
105,1,6,Manhattan,Governor's Island/Ellis Island/Liberty Island
106,3259,3696,Brooklyn,Gowanus
107,201317,276587,Manhattan,Gramercy
108,2933,1740,Brooklyn,Gravesend
109,57,14,Staten Island,Great Kills
111,47,46,Brooklyn,Green-Wood Cemetery
112,11578,14221,Brooklyn,Greenpoint
113,115792,211600,Manhattan,Greenwich Village North
114,51688,141175,Manhattan,Greenwich Village South
115,249,54,Staten Island,Grymes Hill/Clifton
116,35424,27503,Manhattan,Hamilton Heights
117,5533,2762,Queens,Hammels/Arverne
118,107,78,Staten Island,Heartland Village/Todt Hill
119,5328,2769,Bronx,Highbridge
120,347,339,Manhattan,Highbridge Park
121,3158,3001,Queens,Hillcrest/Pomonok
122,2885,1305,Queens,Hollis
123,3204,3882,Brooklyn,Homecrest
124,2210,2010,Queens,Howard Beach
125,44864,76235,Manhattan,Hudson Sq
126,3339,2822,Bronx,Hunts Point
127,7150,6564,Manhattan,Inwood
128,448,700,Manhattan,Inwood Hill Park
129,15993,13855,Queens,Jackson Heights
130,9308,16503,Queens,Jamaica
131,3785,2506,Queens,Jamaica Estates
132,318219,718535,Queens,JFK Airport
133,5594,3407,Brooklyn,Kensington
134,3780,5238,Queens,Kew Gardens
135,2844,2037,Queens,Kew Gardens Hills
136,3102,2177,Bronx,Kingsbridge Heights
137,125225,187911,Manhattan,Kips Bay
138,238671,500901,Queens,LaGuardia Airport
139,2796,1727,Queens,Laurelton
140,272041,397670,Manhattan,Lenox Hill East
141,278969,384463,Manhattan,Lenox Hill West
142,280152,489304,Manhattan,Lincoln Square East
143,178954,211322,Manhattan,Lincoln Square West
144,43243,165328,Manhattan,Little Italy/NoLiTa
145,22917,31121,Queens,Long Island City/Hunters Point
146,14284,14903,Queens,Long Island City/Queens Plaza
147,3008,2042,Bronx,Longwood
148,56195,102109,Manhattan,Lower East Side
149,2702,2513,Brooklyn,Madison
150,1120,1622,Brooklyn,Manhattan Beach
151,117409,150533,Manhattan,Manhattan Valley
152,18564,21619,Manhattan,Manhattanville
153,915,688,Manhattan,Marble Hill
154,141,292,Brooklyn,Marine Park/Floyd Bennett Field
155,4421,4567,Brooklyn,Marine Park/Mill Basin
156,67,41,Staten Island,Mariners Harbor
157,5550,3152,Queens,Maspeth
158,62176,130802,Manhattan,Meatpacking/West Village West
159,6376,6006,Bronx,Melrose South
160,3325,2497,Queens,Middle Village
161,315919,804979,Manhattan,Midtown Center
162,323452,551897,Manhattan,Midtown East
163,208601,469236,Manhattan,Midtown North
