loc_id,pickup_trip_count,borough_name,zone_name
237,2113429,Manhattan,Upper East Side South
161,2023458,Manhattan,Midtown Center
236,1867732,Manhattan,Upper East Side North
132,2059989,Queens,JFK Airport
162,1477633,Manhattan,Midtown East
186,1508078,Manhattan,Penn Station/Madison Sq West
230,1450984,Manhattan,Times Sq/Theatre District
138,1266238,Queens,LaGuardia Airport
142,1371620,Manhattan,Lincoln Square East
163,1204941,Manhattan,Midtown North
170,1273860,Manhattan,Murray Hill
234,1268407,Manhattan,Union Sq
68,1230581,Manhattan,East Chelsea
239,1210668,Manhattan,Upper West Side South
48,1126235,Manhattan,Clinton East
141,1032990,Manhattan,Lenox Hill West
164,1006895,Manhattan,Midtown South
140,923407,Manhattan,Lenox Hill East
249,1041811,Manhattan,West Village
238,871945,Manhattan,Upper West Side North
107,912247,Manhattan,Gramercy
79,1233380,Manhattan,East Village
263,864886,Manhattan,Yorkville West
229,753991,Manhattan,Sutton Place/Turtle Bay North
246,874805,Manhattan,West Chelsea/Hudson Yards
90,727735,Manhattan,Flatiron
100,655696,Manhattan,Garment District
43,620390,Manhattan,Central Park
231,672330,Manhattan,TriBeCa/Civic Center
113,671561,Manhattan,Greenwich Village North
262,649959,Manhattan,Yorkville East
114,691213,Manhattan,Greenwich Village South
233,516499,Manhattan,UN/Turtle Bay South
143,547985,Manhattan,Lincoln Square West
137,550358,Manhattan,Kips Bay
158,483823,Manhattan,Meatpacking/West Village West
148,612347,Manhattan,Lower East Side
144,538751,Manhattan,Little Italy/NoLiTa
211,405371,Manhattan,SoHo
151,381114,Manhattan,Manhattan Valley
13,306861,Manhattan,Battery Park City
75,374851,Manhattan,East Harlem South
87,351295,Manhattan,Financial District North
125,239602,Manhattan,Hudson Sq
261,243851,Manhattan,World Trade Center
50,341228,Manhattan,Clinton West
166,290790,Manhattan,Morningside Heights
70,126920,Queens,East Elmhurst
88,177288,Manhattan,Financial District South
24,139419,Manhattan,Bloomingdale
264,70293,Unknown,
41,228142,Manhattan,Central Harlem
74,203156,Manhattan,East Harlem North
209,112547,Manhattan,Seaport
45,110970,Manhattan,Chinatown
145,111673,Queens,Long Island City/Hunters Point
232,143415,Manhattan,Two Bridges/Seward Park
4,174309,Manhattan,Alphabet City
42,163202,Manhattan,Central Harlem North
224,112311,Manhattan,Stuy Town/Peter Cooper Village
226,94332,Queens,Sunnyside
116,102618,Manhattan,Hamilton Heights
244,116357,Manhattan,Washington Heights South
152,65783,Manhattan,Manhattanville
65,67588,Brooklyn,Downtown Brooklyn/MetroTech
7,109027,Queens,Astoria
193,38939,Queens,Queensbridge/Ravenswood
216,42243,Queens,South Ozone Park
97,69650,Brooklyn,Fort Greene
146,51342,Queens,Long Island City/Queens Plaza
76,62649,Brooklyn,East New York
265,22560,,Outside of NYC
61,91742,Brooklyn,Crown Heights North
