loc_id,am_trip_count,pm_trip_count,borough_name,zone_name,pm_minus_am,pm_am_ratio,pm_increase_pct
1,1242,3333,EWR,Newark Airport,2091,2.683574879227053,168.3574879227053
2,20,23,Queens,Jamaica Bay,3,1.15,15.0
3,2209,1335,Bronx,Allerton/Pelham Gardens,-874,0.6043458578542327,-39.565414214576734
4,38400,31999,Manhattan,Alphabet City,-6401,0.8333072916666666,-16.669270833333332
5,3,7,Staten Island,Arden Heights,4,2.3333333333333335,133.33333333333331
6,430,432,Staten Island,Arrochar/Fort Wadsworth,2,1.0046511627906978,0.46511627906976744
7,31957,26312,Queens,Astoria,-5645,0.8233563851425353,-17.664361485746472
8,121,180,Queens,Astoria Park,59,1.487603305785124,48.760330578512395
9,876,611,Queens,Auburndale,-265,0.6974885844748858,-30.251141552511417
10,8238,7805,Queens,Baisley Park,-433,0.9474386987132799,-5.256130128672008
11,1539,1191,Brooklyn,Bath Beach,-348,0.7738791423001949,-22.612085769980506
12,2036,11477,Manhattan,Battery Park,9441,5.6370333988212185,463.70333988212184
13,64434,122047,Manhattan,Battery Park City,57613,1.8941397398888786,89.41397398888785
14,8361,7101,Brooklyn,Bay Ridge,-1260,0.8493003229278795,-15.069967707212056
15,709,626,Queens,Bay Terrace/Fort Totten,-83,0.8829337094499294,-11.706629055007053
16,1128,1094,Queens,Bayside,-34,0.9698581560283688,-3.0141843971631204
17,15579,15081,Brooklyn,Bedford,-498,0.9680338917773926,-3.1966108222607357
18,4965,2882,Bronx,Bedford Park,-2083,0.5804632426988923,-41.953675730110774
19,1815,1531,Queens,Bellerose,-284,0.843526170798898,-15.647382920110193
20,2199,1844,Bronx,Belmont,-355,0.8385629831741701,-16.143701682582993
21,2768,2406,Brooklyn,Bensonhurst East,-362,0.8692196531791907,-13.078034682080924
22,4070,3190,Brooklyn,Bensonhurst West,-880,0.7837837837837838,-21.62162162162162
23,130,103,Staten Island,Bloomfield/Emerson Hill,-27,0.7923076923076923,-20.76923076923077
24,42777,48174,Manhattan,Bloomingdale,5397,1.1261659302896416,12.616593028964163
25,12415,16192,Brooklyn,Boerum Hill,3777,1.3042287555376562,30.422875553765603
26,4405,5532,Brooklyn,Borough Park,1127,1.2558456299659477,25.58456299659478
27,49,119,Queens,Breezy Point/Fort Tilden/Riis Beach,70,2.4285714285714284,142.85714285714286
28,4796,4541,Queens,Briarwood/Jamaica Hills,-255,0.9468306922435363,-5.316930775646371
29,2663,3055,Brooklyn,Brighton Beach,392,1.1472024033045438,14.720240330454375
30,56,73,Queens,Broad Channel,17,1.3035714285714286,30.357142857142854
31,336,580,Bronx,Bronx Park,244,1.7261904761904763,72.61904761904762
32,3193,1912,Bronx,Bronxdale,-1281,0.5988098966489195,-40.119010335108044
33,15194,21243,Brooklyn,Brooklyn Heights,6049,1.3981176780308016,39.81176780308016
34,779,2349,Brooklyn,Brooklyn Navy Yard,1570,3.0154043645699615,201.54043645699616
